,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
374,Nanortalik,GL,1563417412,60.14,-45.24,41.45,95,100,1.23
375,Minab,IR,1563417271,27.15,57.07,88.84,74,12,2.24
376,Constantine,DZ,1563417412,36.36,6.61,69.8,49,0,2.24
377,Makat,KZ,1563417413,47.65,53.35,83.57,34,0,12.3
378,Puerto Carreno,CO,1563417413,6.19,-67.49,78.8,83,99,2.33
379,Tawau,MY,1563417413,4.26,117.89,84.76,70,75,6.93
380,Chake Chake,TZ,1563417414,-5.25,39.77,76.55,80,25,18.12
381,Vostok,RU,1563417414,46.45,135.83,72.05,82,24,9.1
382,Caborca,MX,1563417414,30.58,-111.1,90.72,48,26,13.33
383,Eyl,SO,1563417414,7.98,49.82,75.29,58,61,27.67
384,Chicama,PE,1563417415,-7.84,-79.15,62.6,88,90,11.41
385,Molteno,ZA,1563417415,-31.4,26.36,47.57,30,63,8.84
386,Yebaishou,CN,1563417415,41.4,119.64,86.63,36,0,5.82
387,Formosa,BR,1563417416,-15.55,-47.33,64.67,62,0,5.7
388,San Isidro,CR,1563417416,10.02,-84.06,71.6,94,40,5.82
389,Kudat,MY,1563417416,6.89,116.84,84.36,70,75,5.82
390,Soe,EE,1563417417,57.91,26.05,55.13,93,75,5.82
391,Concordia,AR,1563417417,-31.4,-58.02,53.01,76,0,8.99
392,Jodar,ES,1563417417,37.84,-3.35,64.02,53,0,3.0
393,Kulhudhuffushi,MV,1563417418,6.62,73.07,80.69,82,100,26.89
394,Gorizia,IT,1563417418,45.94,13.63,65.08,88,100,4.7
395,Polyarnyy,RU,1563417418,69.2,33.45,48.2,87,0,2.24
396,San Patricio,PY,1563417419,-26.98,-56.83,52.25,87,0,6.2
397,Cueto,CU,1563417419,20.65,-75.94,80.6,78,20,13.87
398,Mehamn,NO,1563417419,71.03,27.85,44.6,81,75,14.99
399,Olga,US,1563417388,34.11,-118.17,70.56,69,1,4.7
400,Shitanjing,CN,1563417420,39.23,106.34,93.99,33,49,5.01
401,Araouane,ML,1563417121,18.9,-3.53,94.37,25,24,11.18
402,Gwadar,PK,1563417420,25.12,62.33,82.31,80,64,9.01
403,West Bay,CA,1563417420,49.34,-123.21,66.29,64,40,16.11
404,Pelotas,BR,1563417421,-31.77,-52.34,50.81,97,0,5.99
405,Sampit,ID,1563417209,-2.54,112.95,86.09,61,94,5.82
406,Souillac,FR,1563417421,45.6,-0.6,59.92,87,20,4.7
407,Oystese,NO,1563417422,60.39,6.19,54.93,93,75,12.75
408,Kijang,KR,1563417422,35.24,129.21,73.4,83,90,6.93
409,Eureka,US,1563417284,40.8,-124.16,66.31,77,1,14.99
410,Esmeraldas,BR,1563417422,-19.76,-44.31,57.2,67,0,12.75
411,Beipiao,CN,1563417423,41.8,120.76,83.03,49,0,6.62
412,Baiyin,CN,1563417423,36.55,104.13,69.8,56,40,6.71
413,Russell,US,1563417293,38.9,-98.86,90.59,34,1,19.46
414,Hirara,JP,1563417424,24.8,125.28,79.68,94,75,31.09
415,Havre-Saint-Pierre,CA,1563417424,50.23,-63.6,60.8,55,20,10.29
416,Touros,BR,1563417425,-5.2,-35.46,73.4,100,20,4.7
417,Santa Rosa,AR,1563417425,-36.62,-64.29,53.51,79,0,10.36
418,Torrington,US,1563417425,42.06,-104.18,77.67,57,1,6.93
419,Nakamura,JP,1563417426,35.17,136.87,79.18,83,75,9.17
420,Harper,US,1563417426,30.3,-99.24,83.48,51,1,10.29
421,Evanston,US,1563417426,42.04,-87.69,76.21,78,40,3.36
422,Mexicali,MX,1563417426,32.62,-115.44,102.2,11,40,17.22
423,Cayenne,GF,1563417427,4.94,-52.33,75.2,94,0,3.0
424,Caravelas,BR,1563417427,-17.73,-39.27,71.87,71,0,15.86
425,Acapulco,MX,1563417428,16.86,-99.88,82.4,74,75,5.82
426,Husavik,CA,1563417428,50.56,-96.99,69.01,83,85,0.31
427,Yara,CU,1563417428,20.27,-76.95,76.55,85,82,6.42
428,Lasa,CY,1563417429,34.92,32.53,73.35,78,90,6.93
429,Daru,PG,1563417429,-9.07,143.21,76.01,88,95,10.58
430,Washington DC.,US,1563417350,38.9,-77.04,74.71,88,90,4.7
431,Hare Bay,CA,1563417430,48.86,-53.99,66.2,63,75,12.75
432,Mayumba,GA,1563417430,-3.44,10.65,70.25,95,0,1.92
433,Mount Isa,AU,1563417430,-20.73,139.49,73.4,20,0,12.75
434,Isabela,PH,1563417430,10.2,122.99,84.65,73,100,18.52
435,Lorengau,PG,1563417431,-2.02,147.27,81.95,80,17,9.13
436,Llaillay,CL,1563417431,-32.84,-70.95,47.07,93,1,1.12
437,Solnechnyy,RU,1563417431,50.72,136.64,71.87,87,94,2.01
438,Portales,US,1563417432,34.19,-103.33,86.0,37,1,13.87
439,Dunmanway,IE,1563417432,51.72,-9.12,56.07,87,75,6.93
440,Dingle,PH,1563417433,11.0,122.67,83.21,73,92,18.97
441,Bertoua,CM,1563417433,4.58,13.68,66.47,99,100,2.73
442,Zelenogorskiy,RU,1563417433,55.03,87.0,64.4,100,40,4.47
443,Khangarh,PK,1563417434,29.91,71.16,87.8,74,20,12.57
444,Hearst,CA,1563417434,49.69,-83.67,64.31,53,100,6.98
445,Nouadhibou,MR,1563417387,20.93,-17.03,68.0,88,9,13.87
446,Mataram,ID,1563417347,-5.32,105.06,81.95,54,93,2.89
447,Hauterive,CA,1563417435,49.18,-68.27,60.24,72,1,6.93
448,Magdiwang,PH,1563417435,12.49,122.51,84.11,72,100,24.2
449,Guantanamo,BO,1563417435,-16.14,-62.05,73.49,64,99,1.48
450,Kangaatsiaq,GL,1563417436,68.31,-53.46,43.43,87,100,13.11
451,Ugoofaaru,MV,1563417436,5.67,73.0,80.33,83,100,29.35
452,Duluth,US,1563417229,46.77,-92.13,63.72,93,75,6.13
453,Orebro,SE,1563417437,59.27,15.21,52.56,87,99,4.7
454,Visby,SE,1563417437,57.64,18.3,49.59,100,0,2.89
455,Beringovskiy,RU,1563417438,63.05,179.32,68.45,59,62,7.05
456,Usinsk,RU,1563417438,66.0,57.56,47.39,88,100,18.52
457,Nioro,GM,1563417438,13.79,-15.05,79.61,73,92,10.42
458,Salina,US,1563417438,38.84,-97.61,88.61,40,1,6.93
459,Katobu,ID,1563417439,-4.94,122.53,80.51,80,43,7.83
460,Tayu,JP,1563417439,35.06,136.67,79.14,83,75,9.17
461,Tefe,BR,1563417439,-3.35,-64.71,73.85,88,0,1.1
462,Hami,CN,1563417440,42.84,93.51,79.25,43,100,4.52
463,Farafangana,MG,1563417440,-22.82,47.83,58.73,95,5,3.09
464,Zabol,IR,1563417440,31.03,61.49,91.4,16,0,21.92
465,Floresti,MD,1563417441,47.89,28.3,52.07,93,0,5.79
466,Katherine,AU,1563417441,-14.47,132.26,78.8,24,87,20.8
467,Tequila,MX,1563417441,20.89,-103.84,71.4,64,90,3.36
468,Mackenzie,CA,1563417442,55.34,-123.09,57.2,82,75,5.82
469,Mackay,CA,1563417442,53.65,-115.58,60.82,82,75,2.24
470,Ankang,CN,1563417443,32.73,108.99,72.41,92,100,2.01
471,Siemiatycze,PL,1563417443,52.43,22.86,55.99,90,7,7.78
472,Opuwo,NA,1563417443,-18.06,13.84,53.87,35,0,6.17
473,Mont-Dore,NC,1563417443,-22.23,166.53,78.8,44,20,9.17
474,Vangaindrano,MG,1563417444,-23.35,47.6,59.09,94,61,3.29
475,Pedernales,EC,1563417445,0.07,-80.05,73.49,89,20,15.03
476,Tomatlan,MX,1563417445,19.93,-105.25,80.51,82,100,3.11
477,Pangody,RU,1563417445,65.85,74.49,79.61,54,23,16.11
478,Khash,IR,1563417445,28.22,61.21,79.07,36,0,5.23
479,Alice Springs,AU,1563417446,-23.7,133.88,64.4,36,0,8.05
480,Poltava,UA,1563417446,49.59,34.55,56.57,93,0,6.35
481,Phalaborwa,ZA,1563417446,-23.95,31.14,55.4,35,0,2.24
482,Cockburn Town,TC,1563417447,21.46,-71.14,82.31,77,68,17.02
483,Patea,NZ,1563417447,-39.76,174.48,55.99,60,100,15.01
484,Zelenogradsk,RU,1563417447,54.96,20.48,60.8,82,75,8.95
485,Corinto,CO,1563417448,3.17,-76.26,75.2,69,40,10.29
486,Buarcos,PT,1563417448,40.16,-8.88,62.13,88,75,11.41
487,Sistranda,NO,1563417449,63.73,8.83,53.02,93,75,6.93
488,Iqaluit,CA,1563417449,63.75,-68.52,51.39,71,75,2.24
489,Emerald,AU,1563417449,-23.53,148.16,66.63,29,0,11.41
490,Zhaozhou,CN,1563417450,45.71,125.27,85.37,44,57,4.05
491,Kidal,ML,1563417450,18.44,1.41,92.75,28,92,8.14
492,Iquique,CL,1563417450,-20.22,-70.14,59.0,67,90,6.93
493,Kavaratti,IN,1563417451,10.57,72.64,83.39,73,100,25.97
494,Batagay-Alyta,RU,1563417451,67.8,130.41,35.33,78,55,18.23
495,Yulara,AU,1563417451,-25.24,130.99,64.4,31,0,9.17
496,Birin,NP,1563417451,26.89,88.07,84.2,79,75,3.36
497,Tabas,IR,1563417452,33.6,56.92,91.4,9,0,4.7
498,Riyadh,SA,1563417452,24.63,46.72,84.2,17,0,5.82
499,Port Macquarie,AU,1563417192,-31.43,152.91,66.78,31,0,12.75
500,Zhoucheng,CN,1563417453,31.35,119.33,86.0,84,90,6.71
501,Belvidere,US,1563417453,42.26,-88.84,75.88,78,1,5.82
502,Norman Wells,CA,1563417453,65.28,-126.83,71.6,60,90,8.05
503,Quetta,PK,1563417274,30.19,67.02,80.33,42,0,3.74
504,Wilmington,US,1563417195,39.75,-75.55,73.11,94,20,4.7
505,Grand Gaube,MU,1563417454,-20.01,57.66,70.36,64,40,11.41
506,Bangassou,CF,1563417454,4.74,22.82,68.09,99,91,2.01
507,Vila do Maio,CV,1563417455,15.13,-23.22,75.2,78,75,4.7
508,San Luis,AR,1563417243,-33.3,-66.34,58.73,55,95,7.92
509,Wiarton,CA,1563417455,44.74,-81.13,65.16,64,40,5.82
510,Sandpoint,US,1563417456,48.28,-116.55,65.03,72,90,3.36
511,Ciudad Bolivar,VE,1563417456,8.12,-63.55,76.55,88,94,7.29
512,Moratuwa,LK,1563417457,6.77,79.88,82.4,78,75,9.17
513,Hay River,CA,1563417457,60.82,-115.79,75.2,41,40,10.29
514,Coihaique,CL,1563417457,-45.58,-72.07,38.01,60,75,3.36
515,Nashville,US,1563417248,36.16,-86.77,79.3,83,1,6.93
516,Pombas,BR,1563417458,-15.9,-54.74,75.47,46,90,1.16
517,San Pedro,AR,1563417423,-33.68,-59.66,52.43,74,100,3.0
518,Aswan,EG,1563417458,24.09,32.9,93.2,12,0,3.36
519,Maxixe,MZ,1563417459,-23.86,35.35,57.11,84,0,5.66
520,Mazamari,PE,1563417459,-11.33,-74.53,40.19,91,99,2.93
521,Adrar,DZ,1563417459,27.87,-0.29,89.6,7,75,4.7
522,Nihommatsu,JP,1563417460,37.58,140.43,78.69,69,75,9.17
523,Kalemie,CD,1563417460,-5.95,29.2,61.79,65,0,6.8
524,Stephenville,CA,1563417460,48.55,-58.59,66.2,88,90,2.24
525,Klaksvik,FO,1563417461,62.23,-6.59,50.0,100,50,6.93
526,Urzhum,RU,1563417461,57.11,50.0,61.43,80,67,8.77
527,Vilhena,BR,1563417461,-12.74,-60.15,75.83,47,100,2.62
528,Anan,JP,1563417461,33.91,134.64,80.67,94,75,16.11
529,Kaohsiung,TW,1563417462,22.62,120.31,87.13,74,75,10.29
530,Mao,DO,1563417189,19.55,-71.08,77.07,100,40,4.7
531,Adre,TD,1563417462,13.47,22.2,75.47,61,0,7.58
532,Cap Malheureux,MU,1563417463,-19.98,57.61,70.38,64,40,11.41
533,Ossora,RU,1563417184,59.24,163.07,65.75,66,83,3.22
534,Murgab,TM,1563417463,37.5,61.97,80.6,47,0,8.66
535,Sinnamary,GF,1563417464,5.38,-52.96,81.95,80,100,10.65
536,Robertsport,LR,1563417464,6.75,-11.37,76.01,88,100,7.2
537,Morro Bay,US,1563417464,35.37,-120.85,63.27,87,1,2.17
538,Rabo de Peixe,PT,1563417465,37.8,-25.58,64.4,82,20,2.24
539,Hattiesburg,US,1563417304,31.33,-89.29,80.19,83,1,3.38
540,Carlagan,PH,1563417465,14.97,122.05,86.99,68,100,14.29
541,Morgan Hill,US,1563417449,37.13,-121.65,68.16,47,1,10.29
542,Ust-Barguzin,RU,1563417466,53.41,109.03,64.85,70,6,3.78
543,Alofi,NU,1563417466,-19.06,-169.92,77.0,88,75,10.29
544,Puga,ES,1563417466,42.33,-8.01,59.29,93,0,5.82
545,Southampton,GB,1563417467,50.9,-1.4,60.22,93,100,6.93
546,Kritsa,GR,1563417467,35.16,25.65,75.02,73,20,14.99
547,Makakilo City,US,1563417468,21.35,-158.09,82.51,65,75,12.75
548,Ketchikan,US,1563417468,55.34,-131.65,59.0,77,90,8.05
549,Kirakira,SB,1563417468,-10.46,161.92,80.15,84,22,15.3
550,Virginia Beach,US,1563417060,36.85,-75.98,84.15,74,75,10.29
551,Marica,BR,1563417413,-22.92,-42.82,61.34,88,0,6.93
552,Puerto Escondido,MX,1563417469,15.86,-97.07,82.4,78,90,3.36
553,Fukue,JP,1563417469,35.03,136.69,79.14,83,75,9.17
